"Time (s)","Illuminance (lx)"
9.580839233E0,3.000000000E0
9.620843541E0,0.000000000E0
1.002083793E1,3.000000000E0
1.006084993E1,7.000000000E0
1.010085516E1,1.100000000E1
1.014083647E1,1.500000000E1
1.018084139E1,1.600000000E1
1.038085708E1,1.500000000E1
1.046084408E1,1.300000000E1
1.050084901E1,9.000000000E0
1.054083024E1,6.000000000E0
1.058083547E1,3.000000000E0
1.062084747E1,0.000000000E0
1.102084170E1,4.000000000E0
1.106084662E1,6.000000000E0
1.110085862E1,1.000000000E1
1.118084531E1,1.400000000E1
1.122085001E1,1.500000000E1
1.126083185E1,1.600000000E1
1.146084039E1,1.500000000E1
1.150085247E1,1.100000000E1
1.154082685E1,8.000000000E0
1.158083893E1,4.000000000E0
1.162084408E1,0.000000000E0
1.202083770E1,4.000000000E0
1.206085001E1,8.000000000E0
1.210085524E1,1.000000000E1
1.214083616E1,1.400000000E1
1.218084139E1,1.600000000E1
1.230084016E1,1.500000000E1
1.246084416E1,1.400000000E1
1.250084901E1,1.000000000E1
1.254083062E1,6.000000000E0
1.258083547E1,3.000000000E0
1.262084778E1,0.000000000E0
1.302084109E1,6.000000000E0
1.306084632E1,1.500000000E1
1.310085855E1,2.500000000E1
1.314083309E1,3.400000000E1
1.318084509E1,3.800000000E1
1.346084040E1,3.700000000E1
1.350085240E1,2.800000000E1
1.354082686E1,1.900000000E1
1.358083924E1,9.000000000E0
1.362084409E1,0.000000000E0
1.406085024E1,9.000000000E0
1.410085494E1,1.900000000E1
1.414083648E1,2.800000000E1
1.418084171E1,3.800000000E1
1.450084909E1,2.800000000E1
1.454083086E1,1.900000000E1
1.458083555E1,9.000000000E0
1.462084724E1,0.000000000E0
1.506084655E1,4.000000000E0
1.510085886E1,8.000000000E0
1.514083271E1,1.300000000E1
1.518084532E1,1.700000000E1
1.526083148E1,1.800000000E1
1.534084871E1,1.700000000E1
1.538085394E1,1.800000000E1
1.542083525E1,1.700000000E1
1.550085248E1,1.300000000E1
1.554082717E1,9.000000000E0
1.558083894E1,4.000000000E0
1.562084409E1,0.000000000E0
1.606085025E1,3.000000000E0
1.610085517E1,6.000000000E0
1.614083640E1,1.000000000E1
1.618084163E1,1.400000000E1
1.622085371E1,1.500000000E1
1.626082817E1,1.600000000E1
1.634084533E1,1.700000000E1
1.642083210E1,1.600000000E1
1.654083056E1,1.200000000E1
1.658083556E1,8.000000000E0
1.662084748E1,4.000000000E0
1.666085240E1,0.000000000E0
1.706084664E1,9.000000000E0
1.710085894E1,1.900000000E1
1.714083302E1,2.800000000E1
1.718084540E1,3.800000000E1
1.750085248E1,3.700000000E1
1.754082687E1,2.800000000E1
1.758083894E1,1.800000000E1
1.762084418E1,9.000000000E0
1.766085618E1,0.000000000E0
1.806084995E1,3.000000000E0
1.810085518E1,7.000000000E0
1.814083672E1,1.100000000E1
1.818084164E1,1.500000000E1
1.826082818E1,1.600000000E1
1.846084410E1,1.500000000E1
1.850084879E1,1.300000000E1
1.854083064E1,1.100000000E1
1.858083526E1,7.000000000E0
1.862084779E1,3.000000000E0
1.866085279E1,0.000000000E0
1.906084664E1,9.000000000E0
1.910085833E1,1.900000000E1
1.914083333E1,2.800000000E1
1.918084510E1,3.800000000E1
1.950085241E1,3.700000000E1
1.954082695E1,2.800000000E1
1.958083918E1,1.800000000E1
1.962084380E1,9.000000000E0
1.966085610E1,0.000000000E0
2.010093069E1,4.000000000E0
2.014091192E1,8.000000000E0
2.018091685E1,1.200000000E1
2.022092916E1,1.500000000E1
2.026090331E1,1.600000000E1
2.046091962E1,1.500000000E1
2.050092454E1,1.400000000E1
2.054090577E1,1.000000000E1
2.058091108E1,6.000000000E0
2.062092270E1,2.000000000E0
2.066092800E1,0.000000000E0
2.110093439E1,8.000000000E0
2.114090854E1,1.800000000E1
2.118092062E1,2.700000000E1
2.122092577E1,3.700000000E1
2.126090731E1,3.800000000E1
2.154090239E1,3.300000000E1
2.158091447E1,2.300000000E1
2.162091931E1,1.400000000E1
2.166093170E1,4.000000000E0
2.170090608E1,0.000000000E0
2.210093039E1,9.000000000E0
2.214091255E1,1.900000000E1
2.218091693E1,2.800000000E1
2.222092947E1,3.700000000E1
2.258091132E1,2.800000000E1
2.262092308E1,1.900000000E1
2.266092801E1,9.000000000E0
2.270091008E1,0.000000000E0
2.310093416E1,4.000000000E0
2.314090862E1,8.000000000E0
2.318092086E1,1.200000000E1
2.322092578E1,1.600000000E1
2.342091078E1,1.500000000E1
2.350092793E1,1.400000000E1
2.354090216E1,1.200000000E1
2.358091447E1,8.000000000E0
2.362091963E1,5.000000000E0
2.366093163E1,2.000000000E0
2.370090640E1,0.000000000E0
2.410093070E1,9.000000000E0
2.414091224E1,1.900000000E1
2.418091694E1,2.800000000E1
2.422092924E1,3.800000000E1
2.458091101E1,2.800000000E1
2.462092340E1,1.900000000E1
2.466092824E1,9.000000000E0
2.470090986E1,0.000000000E0
2.510093417E1,9.000000000E0
2.514090886E1,1.900000000E1
2.518092063E1,2.800000000E1
2.522092555E1,3.700000000E1
2.526090740E1,3.800000000E1
2.542091109E1,3.700000000E1
2.554090271E1,3.600000000E1
2.558091448E1,2.700000000E1
2.562091971E1,1.800000000E1
2.566093140E1,9.000000000E0
2.570090609E1,0.000000000E0
2.610093102E1,2.000000000E0
2.614091256E1,6.000000000E0
2.618091717E1,1.000000000E1
2.622092894E1,1.400000000E1
2.626090394E1,1.500000000E1
2.630091563E1,1.600000000E1
2.654090579E1,1.500000000E1
2.658091102E1,1.200000000E1
2.662092310E1,8.000000000E0
2.666092832E1,4.000000000E0
2.670090979E1,0.000000000E0
2.710093440E1,4.000000000E0
2.714090863E1,7.000000000E0
2.718092086E1,1.200000000E1
2.722092579E1,1.600000000E1
2.726090740E1,1.800000000E1
2.754090240E1,1.700000000E1
2.758091471E1,1.300000000E1
2.762091971E1,8.000000000E0
2.766093171E1,4.000000000E0
2.770090617E1,0.000000000E0
2.810093071E1,3.000000000E0
2.814091194E1,8.000000000E0
2.818091718E1,1.200000000E1
2.822092948E1,1.600000000E1
2.826090371E1,1.700000000E1
2.854090579E1,1.600000000E1
2.858091102E1,1.200000000E1
2.862092302E1,8.000000000E0
2.866092833E1,4.000000000E0
2.870091010E1,0.000000000E0
2.914090856E1,9.000000000E0
2.918092087E1,1.800000000E1
2.922092587E1,2.800000000E1
2.926090741E1,3.700000000E1
2.930091256E1,3.800000000E1
2.958091479E1,2.900000000E1
2.962091972E1,2.000000000E1
2.966093164E1,1.000000000E1
2.970090618E1,1.000000000E0
2.974091841E1,0.000000000E0
3.014091203E1,9.000000000E0
3.018091726E1,1.900000000E1
3.022092918E1,2.800000000E1
3.026090395E1,3.800000000E1
3.062092310E1,2.800000000E1
3.066092834E1,1.900000000E1
3.070090980E1,9.000000000E0
3.074091503E1,0.000000000E0
3.114108393E1,4.000000000E0
3.118109570E1,8.000000000E0
3.122110093E1,1.200000000E1
3.126108246E1,1.600000000E1
3.134109931E1,1.700000000E1
3.154107746E1,1.600000000E1
3.158108985E1,1.500000000E1
3.162109470E1,1.200000000E1
3.166110700E1,8.000000000E0
3.170108124E1,4.000000000E0
3.174109324E1,0.000000000E0
3.214108762E1,9.000000000E0
3.218109193E1,1.900000000E1
3.222110454E1,2.800000000E1
3.226107870E1,3.800000000E1
3.258108639E1,3.700000000E1
3.262109808E1,2.800000000E1
3.266110339E1,1.800000000E1
3.270108516E1,9.000000000E0
3.274109008E1,0.000000000E0
3.314108393E1,9.000000000E0
3.318109601E1,1.900000000E1
3.322110085E1,2.800000000E1
3.326108247E1,3.800000000E1
3.358108978E1,3.700000000E1
3.362109501E1,2.800000000E1
3.366110670E1,1.800000000E1
3.370108155E1,9.000000000E0
3.374109347E1,0.000000000E0
3.414108732E1,2.000000000E0
3.418109255E1,5.000000000E0
3.422110455E1,9.000000000E0
3.426107870E1,1.300000000E1
3.430109101E1,1.500000000E1
3.434109601E1,1.700000000E1
3.454108093E1,1.600000000E1
3.458108647E1,1.400000000E1
3.462109847E1,1.000000000E1
3.466110340E1,6.000000000E0
3.470116524E1,2.000000000E0
3.474108978E1,0.000000000E0
3.518109563E1,4.000000000E0
3.522110094E1,8.000000000E0
3.526108217E1,1.200000000E1
3.530108740E1,1.600000000E1
3.558108978E1,1.400000000E1
3.562109478E1,1.000000000E1
3.566110678E1,8.000000000E0
3.570108124E1,4.000000000E0
3.574109355E1,0.000000000E0
3.618109232E1,3.000000000E0
3.622110432E1,7.000000000E0
3.626107902E1,1.100000000E1
3.630109078E1,1.500000000E1
3.634109602E1,1.600000000E1
3.638110794E1,1.700000000E1
3.658108640E1,1.500000000E1
3.662109840E1,1.100000000E1
3.666110363E1,7.000000000E0
3.670108486E1,3.000000000E0
3.674108978E1,0.000000000E0
3.718109571E1,9.000000000E0
3.722110086E1,1.900000000E1
3.726108248E1,2.800000000E1
3.730108763E1,3.800000000E1
3.766110710E1,2.800000000E1
3.770108186E1,1.900000000E1
3.774109356E1,9.000000000E0
3.778109848E1,0.000000000E0
3.818109233E1,9.000000000E0
3.822110464E1,1.900000000E1
3.826107879E1,2.800000000E1
3.830109079E1,3.800000000E1
3.866110364E1,2.800000000E1
3.870108494E1,1.900000000E1
3.874109017E1,9.000000000E0
3.878110218E1,0.000000000E0
3.918109564E1,4.000000000E0
3.922110087E1,7.000000000E0
3.930108741E1,1.100000000E1
3.934109964E1,1.500000000E1
3.938110433E1,1.700000000E1
3.950110302E1,1.600000000E1
3.962109472E1,1.500000000E1
3.966110679E1,1.100000000E1
3.970108148E1,7.000000000E0
3.974109348E1,4.000000000E0
3.978109841E1,0.000000000E0
4.018109256E1,9.000000000E0
4.022110433E1,1.800000000E1
4.026107879E1,2.800000000E1
4.030109102E1,3.700000000E1
4.034109541E1,3.800000000E1
4.066110341E1,2.800000000E1
4.070108487E1,1.900000000E1
4.074109010E1,9.000000000E0
4.078110241E1,0.000000000E0
4.118109572E1,8.000000000E0
4.122110064E1,1.700000000E1
4.126108241E1,2.700000000E1
4.130108710E1,3.600000000E1
4.134109964E1,3.800000000E1
4.150110341E1,3.900000000E1
4.162109449E1,3.800000000E1
4.166110710E1,2.900000000E1
4.170108118E1,1.900000000E1
4.174109349E1,9.000000000E0
4.178109849E1,0.000000000E0
4.222093646E1,9.000000000E0
4.226091093E1,1.900000000E1
4.230092323E1,2.800000000E1
4.234092816E1,3.800000000E1
4.262093054E1,3.700000000E1
4.266093547E1,2.900000000E1
4.270091708E1,2.000000000E1
4.274092200E1,1.000000000E1
4.278093400E1,1.000000000E0
4.282091339E1,0.000000000E0
4.322093278E1,9.000000000E0
4.326091462E1,1.900000000E1
4.330091954E1,2.800000000E1
4.334093154E1,3.800000000E1
4.366093862E1,3.700000000E1
4.370091331E1,2.800000000E1
4.374092539E1,1.900000000E1
4.378093062E1,9.000000000E0
4.382091708E1,0.000000000E0
4.650093209E1,1.000000000E0
4.670090563E1,2.000000000E0
4.674091801E1,4.000000000E0
4.678094324E1,6.000000000E0
4.682090294E1,7.000000000E0
4.686091463E1,8.000000000E0
4.722093455E1,7.000000000E0
4.738093702E1,6.000000000E0
4.742091863E1,5.000000000E0
4.770091640E1,4.000000000E0
4.782091956E1,5.000000000E0
4.890092756E1,4.000000000E0
4.938093671E1,5.000000000E0
